departamento,capital,superficie_km2
Antioquia,Medellín,63612
Bogotá D.C.,Bogotá,1775
Cundinamarca,Bogotá,22605
Santander,Bucaramanga,30537
Norte de Santander,Cúcuta,21658
Boyacá,Tunja,23189
Caldas,Manizales,7888
Risaralda,Pereira,4140
Quindío,Armenia,1845
Tolima,Ibagué,23562
Huila,Neiva,19890
Cauca,Popayán,29308
Nariño,Pasto,33268
Valle del Cauca,Cali,22140
Chocó,Quibdó,46530
Atlántico,Barranquilla,3388
Bolívar,Cartagena,25978
Magdalena,Santa Marta,23188
Cesar,Valledupar,22905
Córdoba,Montería,25020
Sucre,Sincelejo,10917
La Guajira,Riohacha,20848
San Andrés y Providencia,San Andrés,52
Meta,Villavicencio,85635
Casanare,Yopal,44640
Arauca,Arauca,23818
Vichada,Puerto Carreño,100242
Amazonas,Leticia,109665
Caquetá,Florencia,88965
Putumayo,Mocoa,24885
Guaviare,San José del Guaviare,53460
Guainía,Inírida,71238
Vaupés,Mitú,54135
